名称,原名称,年代,地址,批次,等级,经度,纬度,API返回地址,匹配方式,精度,状态,搜索关键词,Longitude,Latitude,经度偏移,纬度偏移
昙华林90号,花园山牧师楼,1937年前,武汉市昙华林90号,第五批,一级,114.309224,30.55215,武汉市武昌区 - 湖北省武汉市武昌区昙华林90号,geocode,精确,成功,武汉市昙华林90号,114.30377733917965,30.55456784444198,0.0054466608203540545,-0.0024178444419789002
居民住宅,江岸区大智街青少年教育基地,1938年前,武汉市江汉二路148号,第五批,二级,114.292553,30.584942,武汉市江岸区 - 湖北省武汉市江岸区江汉二路148号,geocode,精确,成功,武汉市江汉二路148号,114.28712467928328,30.587375030531398,0.005428320716717394,-0.0024330305313959855
市政府礼堂,市政府礼堂,1954,武汉市沿江大道187号,第六批,一级,114.304995,30.591834,武汉市江岸区 - 湖北省武汉市江岸区沿江大道187号,geocode,精确,成功,武汉市沿江大道187号,114.29955089074524,30.594244674167623,0.005444109254767682,-0.002410674167624194
黎黄陂路18-34号,裕民部洋行,1937年前,武汉市黎黄陂路18-34号,第六批,二级,114.299889,30.587497,武汉市江岸区 - 湖北省武汉市江岸区黎黄陂路18号,geocode,精确,成功,武汉市黎黄陂路18-34号,114.29445197919227,30.589917826462095,0.005437020807718795,-0.0024208264620959596
武汉市教育局,关麟书私产,1937年前,武汉市蔡锷路1号,第六批,二级,114.30402,30.590299,武汉市江岸区 - 湖北省武汉市江岸区蔡锷路1号,geocode,精确,成功,武汉市蔡锷路1号,114.29857735117965,30.592711923484877,0.00544264882034895,-0.002412923484875762
江岸区城管直属一队,安息日会警示堂,1930,武汉市中山大道769号,第六批,二级,114.297524,30.589746,武汉市江岸区 - 湖北省武汉市江岸区中山大道769号,geocode,精确,成功,武汉市中山大道769号,114.29208967954183,30.592169720636775,0.005434320458164166,-0.002423720636773652
洞庭街91-97号,,1913,武汉市洞庭街91-97号,第六批,二级,114.301922,30.588793,武汉市江岸区 - 湖北省武汉市江岸区洞庭街91-97号,geocode,精确,成功,武汉市洞庭街91-97号,114.29648226677888,30.59121001106753,0.005439733221123788,-0.0024170110675321155
长安老年康乐园,,1913-1914,武汉市黎黄陂路40号,第六批,二级,114.298429,30.588742,武汉市江岸区 - 湖北省武汉市江岸区黎黄陂路40号,geocode,精确,成功,武汉市黎黄陂路40号,114.2929936757374,30.591164682780917,0.005435324262592189,-0.0024226827809172846
慎成宴,,1937年前,武汉市蔡锷路3、5、7号,第六批,二级,114.303633,30.590441,武汉市江岸区 - 湖北省武汉市江岸区蔡锷路3号,geocode,精确,成功,武汉市蔡锷路3、5、7号,114.29819086018496,30.5928545225364,0.005442139815045266,-0.002413522536400592
武汉市福利彩票发行中心,武汉市民政局,1954,武汉市胜利街261号,第六批,二级,114.303576,30.59385,武汉市江岸区 - 湖北省武汉市江岸区胜利街261号,geocode,精确,成功,武汉市胜利街261号,114.29813364204159,30.596262303028517,0.0054423579584153,-0.0024123030285174707
胜利街259-2、3、4、5号,居民住宅,1937年前,武汉市胜利街259-2、3、4、5号,第六批,二级,114.303268,30.593254,武汉市江岸区 - 湖北省武汉市江岸区胜利街259-261号,geocode,精确,成功,武汉市胜利街259-2、3、4、5号,114.29782610567102,30.59566705173953,0.005441894328981789,-0.0024130517395271056
老洋房咖啡,居民住宅,1917,武汉市一元路4号,第六批,二级,114.30284,30.59319,武汉市江岸区 - 湖北省武汉市江岸区一元路4号,geocode,精确,成功,武汉市一元路4号,114.29739868033379,30.595603793295272,0.005441319666218192,-0.0024137932952719154
鼎新里,革新三里,1937年前,武汉市江岸区大智街道吉庆街37号,第六批,二级,114.290014,30.584195,武汉市江岸区 - 湖北省武汉市江岸区大智街道吉庆街37号,geocode,精确,成功,武汉市江岸区大智街道吉庆街37号,114.28458831399652,30.586631897868493,0.005425686003476926,-0.002436897868491883
长江饭店,长江饭店,1921,武汉市民生路205号,第六批,二级,114.289245,30.57674,武汉市江汉区 - 湖北省武汉市江汉区民生路205号,geocode,精确,成功,武汉市民生路205号,114.28382069516981,30.579180743931786,0.005424304830185633,-0.002440743931785505
武汉城投房产集团有限公司,叶篷公馆,1937年前,武汉市江岸区青岛路15号,第七批,一级,114.297035,30.582592,武汉市江岸区 - 湖北省武汉市江岸区青岛路15号,geocode,精确,成功,武汉市江岸区青岛路15号,114.29160187720727,30.58501920179268,0.005433122792723566,-0.0024272017926776357
武汉宏福源物理公司,美国美孚石油公司,上世纪20-30年代,武汉市江岸区江滩路5号,第七批,一级,114.302891,30.586244,武汉市江岸区 - 湖北省武汉市江岸区江滩大道21号,geocode,精确,成功,武汉市江岸区江滩路5号,114.29745021295186,30.58866037252079,0.005440787048144102,-0.0024163725207877462
武汉市商务局,,1926,武汉市江岸区黎黄陂路27号,第七批,一级,114.299229,30.587561,武汉市江岸区 - 湖北省武汉市江岸区黎黄陂路27号,geocode,精确,成功,武汉市江岸区黎黄陂路27号,114.29379279593826,30.589982861814633,0.005436204061737726,-0.002421861814632109
闻一多基金会,英国领事馆官邸,1861,武汉市江岸区天津路10号,第七批,一级,114.29958,30.58314,武汉市江岸区 - 湖北省武汉市江岸区天津路10号,geocode,精确,成功,武汉市江岸区天津路10号,114.29414374176113,30.58556297682073,0.005436258238873393,-0.0024229768207284508
居民住宅,顺丰茶栈,约1861,武汉市江岸区洞庭街62-64号,第七批,一级,114.299964,30.585715,武汉市江岸区 - 湖北省武汉市江岸区洞庭街62-64号,geocode,精确,成功,武汉市江岸区洞庭街62-64号,114.29452703895059,30.588136383749333,0.005436961049412048,-0.0024213837493327617
卡帕运动专卖店,中南银行,1923,武汉市江岸区江汉路64号,第七批,一级,114.293255,30.579574,武汉市江岸区 - 湖北省武汉市江岸区江汉路64号,geocode,精确,成功,武汉市江岸区江汉路64号,114.28782639689241,30.582008031395603,0.00542860310758897,-0.002434031395601721
居民住宅,匹头工会会所,1937年前,武汉市二盛巷55附1号,第七批,一级,114.290156,30.570559,武汉市江汉区 - 湖北省武汉市江汉区二盛巷55附1,geocode,精确,成功,武汉市二盛巷55附1号,114.28473135104673,30.573000771372946,0.005424648953265887,-0.002441771372946988
武汉市汉阳区教师教育中心,中华基督教循道公会，汉阳文德小学,约1896,武汉市江岸区翠微路18号,第七批,一级,114.265589,30.54651,武汉市汉阳区 - 湖北省武汉市汉阳区翠微路18号,geocode,精确,成功,武汉市江岸区翠微路18号,114.26017951015983,30.54898507659457,0.005409489840175752,-0.0024750765945675823
滨江里,八大家,1911,武汉市滨江里1-22号,第七批,二级,114.300647,30.589524,武汉市江岸区 - 湖北省武汉市江岸区滨江里1,geocode,精确,成功,武汉市滨江里1-22号,114.29520884630024,30.591942823011017,0.005438153699756754,-0.002418823011016258
武汉市江岸区结核病防治中心,兰陵路58-2号,1937,武汉市兰陵路58-2号,第七批,二级,114.30022,30.585474,武汉市江岸区 - 湖北省武汉市江岸区兰陵路8临,geocode,精确,成功,武汉市兰陵路58-2号,114.2947827374022,30.58789506135885,0.005437262597794756,-0.002421061358848675
扬子江饭店,普海春大酒店,1937年前,武汉市江岸区江汉路104-106号,第七批,二级,114.285456,30.584191,武汉市江汉区 - 湖北省武汉市江岸区江汉路104号,geocode,精确,成功,武汉市江岸区江汉路104-106号,114.28003440774859,30.58663389917985,0.005421592251408924,-0.002442899179850855
武汉长江船员培训中心,武汉民生轮船公司旧址,1923-1925,武汉市鄱阳街7号,第八批,一级,114.294607,30.578997,武汉市江岸区 - 湖北省武汉市江岸区鄱阳街7号,geocode,精确,成功,武汉市鄱阳街7号,114.28917697009925,30.58142924831621,0.00543002990075081,-0.002432248316207364
江汉饭店办公楼,江汉饭店办公楼,约20世纪二十年代,武汉市江岸区胜利街257号,第八批,一级,114.302223,30.592074,武汉市江岸区 - 湖北省武汉市江岸区胜利街257号,geocode,精确,成功,武汉市江岸区胜利街257号,114.29678258985261,30.59448925174274,0.0054404101473863875,-0.002415251742739599
湖北省海外旅游（集团）有限公司,中山大道909号,1937年前,武汉市中山大道909号,第八批,一级,114.302023,30.592318,武汉市江岸区 - 湖北省武汉市江岸区中山大道909号,geocode,精确,成功,武汉市中山大道909号,114.29658283043219,30.594733489000106,0.005440169567819453,-0.0024154890001071294
保华街1-31号、汇通路1号,保华街1-31号,1912,武汉市保华街1-31号、汇通路1号,第八批,二级,114.291357,30.585161,武汉市江岸区 - 湖北省武汉市江岸区保华街1-31号汇通路1号,geocode,精确,成功,武汉市保华街1-31号、汇通路1号,114.28592989601258,30.58759565670916,0.005427103987429405,-0.0024346567091591
洞庭街68-70号,洞庭街68-70号,20世纪20年代,武汉市胜利街68-70号,第九批,一级,114.295478,30.583767,武汉市江岸区 - 湖北省武汉市江岸区胜利街68号,geocode,精确,成功,武汉市胜利街68-70号,114.29004657931925,30.586196145686646,0.005431420680750421,-0.0024291456866443184
市旅游协会,英美烟草公司办公楼,1911年,武汉市江岸区合作路17号,第九批,一级,114.298027,30.585133,武汉市江岸区 - 湖北省武汉市江岸区合作路17号,geocode,精确,成功,武汉市江岸区合作路17号,114.29259247437983,30.58755769172103,0.005434525620174213,-0.0024246917210319907
居民住宅,汉口真光照相馆,1919年,武汉市胜利街247号,第九批,一级,114.301922,30.591778,武汉市江岸区 - 湖北省武汉市江岸区胜利街247号,geocode,精确,成功,武汉市胜利街247号,114.29648200887563,30.59419386441713,0.00543999112437632,-0.002415864417127267
居民住宅,平汉铁路总会,约1911年,武汉市车站路35号,第九批,一级,114.300028,30.590394,武汉市江岸区 - 湖北省武汉市江岸区车站路35号,geocode,精确,成功,武汉市车站路35号,114.29459055441048,30.592813492962502,0.005437445589521417,-0.002419492962502545
居民住宅,黎黄陂路44-48号,约1916年,武汉市黎黄陂路44-48号,第九批,一级,114.298235,30.588775,武汉市江岸区 - 湖北省武汉市江岸区黎黄陂路44号,geocode,精确,成功,武汉市黎黄陂路44-48号,114.29279990846798,30.59119797659868,0.005435091532021374,-0.002422976598680293
居民住宅,法租界消防队,约1914年,武汉市岳飞街19号,第九批,一级,114.299555,30.59061,武汉市江岸区 - 湖北省武汉市江岸区岳飞街19号,geocode,精确,成功,武汉市岳飞街19号,114.29411812784316,30.593030171738047,0.005436872156835193,-0.002420171738044985
幼儿园,日本海军陆战队军营,民国初年,武汉市张自忠路2号,第九批,一级,114.3112,30.603522,武汉市江岸区 - 湖北省武汉市江岸区张自忠路2号,geocode,精确,成功,武汉市张自忠路2号,114.30574598912519,30.60591718945013,0.00545401087481423,-0.0023951894501266224
汉口业主会,船机招待所,约1921年,武汉市连香里78号,第九批,一级,114.342616,30.656516,武汉市江岸区 - 汉口新城一期业主委员会(堤角路与矿场路交叉口西80米) [POI],POI,精确,成功,汉口业主会,114.33710718979742,30.658829780340447,0.005508810202584868,-0.00231378034044738
